docket_id,customer_id,short_name,order_size1,order_size2,net_out,unitizing_bundle_qty,unitizing_unit_qty,unitizing_max_height,unitizing_piling_pattern_id
110233,11806,,22.1,66.02,1.0,0,0,48,0
110234,11806,,22.1,66.02,1.0,0,0,48,0
110235,11806,,22.1,66.02,1.0,0,0,48,0
110236,11806,,22.1,66.02,1.0,0,0,48,0
110237,11806,,22.1,66.02,1.0,0,0,48,0
110238,11806,,22.1,66.02,1.0,0,0,48,0
110239,11806,,22.1,66.02,1.0,0,0,48,0
110240,11806,,22.1,66.02,1.0,0,0,48,0
110241,11806,,22.1,66.02,1.0,0,0,48,0
110242,11806,,22.1,66.02,1.0,0,0,48,0
110243,11806,,22.1,66.02,1.0,0,0,48,0
110244,11806,,22.1,66.02,1.0,0,0,48,0
110245,11806,,22.1,66.02,1.0,0,0,48,0
110246,11806,,22.1,66.02,1.0,0,0,48,0
110247,11806,,22.1,66.02,1.0,0,0,48,0
110248,11806,,22.1,66.02,1.0,0,0,48,0
110249,11806,,22.1,66.02,1.0,0,0,48,0
110250,11806,,22.1,66.02,1.0,0,0,48,0
110251,11806,,22.1,66.02,1.0,0,0,48,0
110252,11806,,22.1,66.02,1.0,0,0,48,0
110253,11806,,22.1,66.02,1.0,0,0,48,0
110254,11806,,22.1,66.02,1.0,0,0,48,0
110255,11806,,22.1,66.02,1.0,0,0,48,0
110257,11806,,22.1,66.02,1.0,0,0,48,0
110258,11806,,22.1,66.02,1.0,0,0,48,0
110259,11806,,22.1,66.02,1.0,0,0,48,0
110260,11806,,22.1,66.02,1.0,0,0,48,0
110261,11806,,22.1,66.02,1.0,0,0,48,0
110262,11806,,22.1,66.02,1.0,0,0,48,0
110263,11806,,22.1,66.02,1.0,0,0,48,0
110264,11806,,22.1,66.02,1.0,0,0,48,0
110265,11806,,22.1,66.02,1.0,0,0,48,0
110266,11806,,22.1,66.02,1.0,0,0,48,0
110267,11806,,22.1,66.02,1.0,0,0,48,0
110268,11806,,22.1,66.02,1.0,0,0,48,0
110269,11806,,22.1,66.02,1.0,0,0,48,0
110270,11806,,22.1,66.02,1.0,0,0,48,0
